WineName,Vintage,VineyardName,Country,Region,Type,Size(ml),Varietal,Critic,Rating,Price,CatalogueRemark,VivinoRating,Dry-Sweet,Light-Bold,Soft-Acidic,Smooth-Tannic,Gentle-Fizzy,NumVivinoRaters,NumReviews,VivinoRemarks,VivinoURL,VivinoPrice,VivinoRetailer,VivinoAvailableVintage,On-PremiseExclusive,Organic and/Or Bio-dynamic,Natural Winemaking,Sustainable Winegrowing,No Preservative
Cuvee Sir Winston Churchill *Limited,2008,Champagne Pol Roger,France,Epernay Champagne,Sparkling,750,,RP,97,290,Limited,,,,,,,,,,,,,,N,N,N,N,N
Cuvee Sir Winston Churchill - Magnum *Limited,2006,Champagne Pol Roger,France,Epernay Champagne,Sparkling,1500,,RP,95,590,Limited,,,,,,,,,,,,,,N,N,N,N,N
Cuvee Sir Winston Churchill - Magnum *Limited,2008,Champagne Pol Roger,France,Epernay Champagne,Sparkling,1500,,RP,97,610,Limited,,,,,,,,,,,,,,N,N,N,N,N
"Gentil ""Hugel""",2017,"Famille ""Hugel""",France,Alsace,White,750,"Gewurztraminer, Muscat, Pinot Gris, Riesling, Sylvaner & Pinot Blanc",JS,90,31,,3.8,,,,,,1222,,Among top 7% of all wines in the world (2017 Vintage),https://www.vivino.com/hugel-gentil/w/5106?year=2017,,,,Y,N,N,N,N
"Gentil ""Hugel""",2018,"Famille ""Hugel""",France,Alsace,White,750,"Gewurztraminer, Muscat, Pinot Gris, Riesling, Sylvaner & Pinot Blanc",JS,90,31,,,,,,,,,,,,,,,Y,N,N,N,N
"Pinot Gris ""Hugel""",2017,"Famille ""Hugel""",France,Alsace,White,750,Pinot Gris,,,42,,3.6,4,6,5,,,51,181,,https://www.vivino.com/hugel-classic-pinot-gris/w/1193180?year=2017,,,,N,N,N,N,N
"Pinot Gris ""Hugel""",2017,"Famille ""Hugel""",France,Alsace,White,750,Riesling,,,42,,,,,,,,,,,,,,,N,N,N,N,N
"Gewurztraminer ""Hugel""",2015,"Famille ""Hugel""",France,Alsace,White,750,Gewurztraminer,JS,91,43,,3.8,5,8,3,,,474,363,,https://www.vivino.com/hugel-gewurztraminer-alsace/w/5114?year=2015,$58.00,Vini Vino,2015,N,N,N,N,N
"Gewurztraminer ""Hugel""",2016,"Famille ""Hugel""",France,Alsace,White,750,Gewurztraminer,,,43,,3.7,5,8,3,,,62,363,,https://www.vivino.com/hugel-gewurztraminer-alsace/w/5114?year=2016,$58.00,Vini Vino,2016,N,N,N,N,N
"Pinot Noir ""Hugel""",2014,"Famille ""Hugel""",France,Alsace,Red,750,Pinot Noir,,,38,,3.5,2,3,8,3,,82,67,,https://www.vivino.com/hugel-pinot-noir/w/5120?year=2014,$52.00,Vini Vino,2014,N,N,N,N,N
"Gewurztraminer ""Hugel"" Grossi Laue",2010,"Famille ""Hugel""",France,Alsace,White,750,Gewurztraminer,RP,92,92,,4.2,5,8,5,,,133,29,,https://www.vivino.com/hugel-grossi-laue-gewurztraminer/w/4465038?year=2010,$129.00,Vini Vino,2010,N,Y,N,N,N
"Riesling ""Hugel"" Grossi Laue",2010,"Famille ""Hugel""",France,Alsace,White,750,Riesling,JS,97,105,,4.2,3,5,9,,,146,109,,https://www.vivino.com/hugel-riesling-grossi-laue/w/4542483?year=2010,$168.00,Vini Vino,2010,N,Y,N,N,N
"Riesling ""Hugel"" Grossi Laue",2011,"Famille ""Hugel""",France,Alsace,White,750,Riesling,RP,91,98,,4.2,4,5,9,,,383,109,,https://www.vivino.com/hugel-riesling-grossi-laue/w/4542483?year=2011,$156.00,Vini Vino,2011,N,Y,N,N,N
Schoelhammer Riesling,2008,"Famille ""Hugel""",France,Alsace,White,750,Riesling,JS,98,153,,4.3,4,5,9,,,64,42,Among top 2% of all wines in the world (2008 Vintage),https://www.vivino.com/hugel-schoelhammer-riesling-alsace/w/3852064?year=2008,$228.00,Vini Vino,2009,N,Y,N,N,N
Schoelhammer Riesling,2009,"Famille ""Hugel""",France,Alsace,White,750,Riesling,JS,99,153,,4.5,4,5,9,,,97,42,"This vintage rates better than any other year for this wine

Among top 1% of all wines in the world",https://www.vivino.com/hugel-schoelhammer-riesling-alsace/w/3852064?year=2009,$228.00,Vini Vino,2009,N,Y,N,N,N
"Pinot Gris ""Hugel"" Vendange Tardive",2000,"Famille ""Hugel""",France,Alsace,White,750,Pinot Gris,,,94,,4.3,,,,,,23,,,https://www.vivino.com/hugel-pinot-gris-vendange-tardive/w/5185?year=2000,$128.00,Vini Vino,2000,N,Y,N,N,N
"Pinot ""Hugel"" Vendange Tardive *Limited",2009,"Famille ""Hugel""",France,Alsace,White,750,Riesling,RP,93,107,Limited,4,,,,,,10,,,https://www.vivino.com/hugel-pinot-gris-vendange-tardive/w/5185?year=2009#vintageListSection,$128.00,Vini Vino,2000,N,Y,N,N,N
"Gewurztraminer ""Hugel"" Vendage Tardive",2006,"Famille ""Hugel""",France,Alsace,White,750,Gewurztraminer,RP,90,73,,4.2,6,7,3,,,43,64,,https://www.vivino.com/hugel-gewurztraminer-vendange-tardive/w/1708606?year=2006,$135.00,Vini Vino,2007,N,Y,N,N,N
"Gewurztraminer ""Hugel"" Vendage Tardive",2007,"Famille ""Hugel""",France,Alsace,White,750,Gewurztraminer,RP,94,89,,4.2,7,8,3,,,166,64,,https://www.vivino.com/hugel-gewurztraminer-vendange-tardive/w/1708606?year=2007,$135.00,Vini Vino,2007,N,N,N,N,N
Laforet Bourgogne Blanc,2017,Maison Joseph Drouhin,France,Burgundy,Red,750,Chardonnay,,,39,,3.6,1,8,7,,,474,258,,https://www.vivino.com/joseph-drouhin-laforet-bourgogne-chardonnay/w/24114?year=2017,$59.00,Vini Vino,2017,Y,Y,N,N,N
Laforet Bourgogne Blanc - Magnum,2014,Maison Joseph Drouhin,France,Burgundy,Red,1500,Chardonnay,,,73,,3.6,1,8,7,,,607,258,,https://www.vivino.com/joseph-drouhin-laforet-bourgogne-chardonnay/w/24114?year=2014,$59.00,Vini Vino,2017,Y,Y,N,N,N
Laforet Bourgogne Blanc - Magnum,2017,Maison Joseph Drouhin,France,Burgundy,Red,1500,Chardonnay,,,80,,,,,,,,,,,,,,,Y,Y,N,N,N
Laforet Bourgogne Rouge,2018,Maison Joseph Drouhin,France,Burgundy,Red,750,Pinot Noir,,,41,,3.8,1,4,8,3,,108,578,This vintage rates better than any other year for this wine.                                Among top 7% of all wines in the world,https://www.vivino.com/joseph-drouhin-laforet-bourgogne-pinot-noir/w/24115?year=2018,,,,Y,Y,N,N,N
Cote de Beaune Blanc,2013,Maison Joseph Drouhin,France,Burgundy,Red,750,Chardonnay,,,60,,3.9,2,7,6,,,96,41,Among top 6% of all wines in the world,https://www.vivino.com/joseph-drouhin-cote-de-beaune-blanc/w/24103?year=2013,$105.00,Vini Vino,2013,Y,Y,N,N,N
Cote de Beaune Blanc,2014,Maison Joseph Drouhin,France,Burgundy,Red,750,Chardonnay,,,60,,3.8,2,7,6,,,70,41,,https://www.vivino.com/joseph-drouhin-cote-de-beaune-blanc/w/24103?year=2014,$110.00,Vini Vino,2014,Y,Y,N,N,N
Cote de Beaune Blanc,2016,Maison Joseph Drouhin,France,Burgundy,Red,750,Chardonnay,,,84,,4.1,2,7,6,,,14,41,This vintage rates better than any other year for this wine,https://www.vivino.com/joseph-drouhin-cote-de-beaune-blanc/w/24103?year=2016,$128.00,Vini Vino,2016,Y,Y,N,N,N
Cote de Beaune Blanc,2017,Maison Joseph Drouhin,France,Burgundy,Red,750,Chardonnay,,,84,,3.8,2,7,6,,,,41,,https://www.vivino.com/joseph-drouhin-cote-de-beaune-blanc/w/24103?year=2017,$128.00,Vini Vino,2016,Y,Y,N,N,N
Cote de Beaune Blanc,2015,Maison Joseph Drouhin,France,Burgundy,Red,750,Pinot Noir,BH,88,65,,,,,,,,,,,,,,,Y,Y,N,N,N
Cote de Beaune Blanc,2016,Maison Joseph Drouhin,France,Burgundy,Red,750,Pinot Noir,BH,89,83,,,,,,,,,,,,,,,Y,Y,N,N,N
Clos des Mouches Blanc,2013,Maison Joseph Drouhin,France,Burgundy,Red,750,Chardonnay,BH,90,200,,4,2,7,6,,,80,149,,https://www.vivino.com/joseph-drouhin-beaune-1er-cru-clos-des-mouches-blanc/w/24063?year=2013,$259.00,Vini Vino,2013,N,Y,N,N,N
Clos des Mouches Blanc,2016,Maison Joseph Drouhin,France,Burgundy,Red,750,Chardonnay,BH,91,210,,4.5,2,7,6,,,118,149,Among top 1% of all wines in the world,https://www.vivino.com/joseph-drouhin-beaune-1er-cru-clos-des-mouches-blanc/w/24063?year=2016,$269.00,Vini Vino,2016,N,Y,N,N,N
Clos des Mouches Blanc,2017,Maison Joseph Drouhin,France,Burgundy,Red,750,Chardonnay,BH,91,225,,4.3,2,7,6,,,44,149,,https://www.vivino.com/joseph-drouhin-beaune-1er-cru-clos-des-mouches-blanc/w/24063?year=2017,$269.00,Vini Vino,2016,N,Y,N,N,N
Clos des Mouches Rogue,2012,Maison Joseph Drouhin,France,Burgundy,Red,750,Pinot Noir,,,160,,4.1,2,4,8,3,,187,250,Oldest vintage available. Cheapest vintage available,https://www.vivino.com/joseph-drouhin-beaune-1er-cru-clos-des-mouches/w/24064?year=2012,$192.00,Vini Vino,2012,N,Y,N,N,N
Clos des Mouches Rogue,2013,Maison Joseph Drouhin,France,Burgundy,Red,750,Pinot Noir,BH,91,165,,4.2,2,4,8,3,,160,250,,https://www.vivino.com/joseph-drouhin-beaune-1er-cru-clos-des-mouches/w/24064?year=2013,$218.00,Vini Vino,2013,N,Y,N,N,N
Clos des Mouches Rogue,2014,Maison Joseph Drouhin,France,Burgundy,Red,750,Pinot Noir,BH,92,165,,3.9,2,4,8,3,,86,250,,https://www.vivino.com/joseph-drouhin-beaune-1er-cru-clos-des-mouches/w/24064?year=2014,$218.00,Vini Vino,2014,N,Y,N,N,N
Clos des Mouches Rogue,2015,Maison Joseph Drouhin,France,Burgundy,Red,750,Pinot Noir,BH,91,176,,4.3,2,4,8,3,,139,250,,https://www.vivino.com/joseph-drouhin-beaune-1er-cru-clos-des-mouches/w/24064?year=2015,$238.00,Vini Vino,2015,N,Y,N,N,N
Clos des Mouches Rogue,2016,Maison Joseph Drouhin,France,Burgundy,Red,750,Pinot Noir,BH,92,176,,4.3,2,4,8,3,,201,250,Latest vintage available,https://www.vivino.com/joseph-drouhin-beaune-1er-cru-clos-des-mouches/w/24064?year=2016,$238.00,Vini Vino,2016,N,Y,N,N,N
Clos des Mouches Rogue - Magnum,2016,Maison Joseph Drouhin,France,Burgundy,Red,1500,Pinot Noir,BH,92,355,,4.3,2,4,8,3,,201,250,Latest vintage available,https://www.vivino.com/joseph-drouhin-beaune-1er-cru-clos-des-mouches/w/24064?year=2016,$238.00,Vini Vino,2016,N,Y,N,N,N
Chablis - Pint,2018,Maison Joseph Drouhin,France,Burgundy,White,375,Chardonnay,,,25,,3.7,1,5,8,,,25,63,,https://www.vivino.com/joseph-drouhin-chablis/w/24071?year=2018,,,,N,Y,N,N,N
Chablis,2018,Maison Joseph Drouhin,France,Burgundy,White,750,Chardonnay,,,48,,3.7,1,5,8,,,25,63,,https://www.vivino.com/joseph-drouhin-chablis/w/24071?year=2018,,,,N,Y,N,N,N
Chablis 1er Cru - Pint,2018,Maison Joseph Drouhin,France,Burgundy,White,375,Chardonnay,,,32,,3.9,1,5,8,,,1316,123,,https://www.vivino.com/joseph-drouhin-drouhin-vaudon-chablis-premier-cru/w/1212533?ref=2018,$98.00,Vini Vino,2018,N,Y,N,N,N
Chablis 1er Cru,2018,Maison Joseph Drouhin,France,Burgundy,White,750,Chardonnay,,,65,,3.9,1,5,8,,,1316,123,,https://www.vivino.com/joseph-drouhin-drouhin-vaudon-chablis-premier-cru/w/1212533?ref=2018,$98.00,Vini Vino,2018,N,Y,N,N,N
Chablis Grand Cru Bougros *Limited,2015,Maison Joseph Drouhin,France,Burgundy,White,750,Chardonnay,,,108,Limited,4.5,2,5,8,,,47,32,This vintage rates better than any other year for this wine. Among top 1% of all wines in the world,https://www.vivino.com/joseph-drouhin-drouhin-vaudon-chablis-grand-cru-bougros/w/1322635?year=2015,$165.00,Vini Vino,2015,N,Y,N,N,N
Chablis Grand Cru Bougros,2016,Maison Joseph Drouhin,France,Burgundy,White,750,Chardonnay,,,122,,4.3,2,5,8,,,14,32,,https://www.vivino.com/joseph-drouhin-drouhin-vaudon-chablis-grand-cru-bougros/w/1322635?year=2016,$178.00,Vini Vino,2016,N,Y,N,N,N
Chablis Grand Cru Bougros,2017,Maison Joseph Drouhin,France,Burgundy,White,750,Chardonnay,,,126,,4.1,2,5,8,,,,32,,https://www.vivino.com/joseph-drouhin-drouhin-vaudon-chablis-grand-cru-bougros/w/1322635?year=2017,$178.00,Vini Vino,2016,N,Y,N,N,N
Chablis Grand Cru Vaudesir *Limited,2016,Maison Joseph Drouhin,France,Burgundy,White,750,Chardonnay,,,115,Limited,4.2,2,5,8,,,,34,,https://www.vivino.com/joseph-drouhin-chablis-grand-cru-vaudesir/w/24077?year=2016,$168.00,Vini Vino,2016,N,Y,N,N,N
Chablis Grand Cru Vaudesir,2017,Maison Joseph Drouhin,France,Burgundy,White,750,Chardonnay,,,123,,4.2,2,5,8,,,,34,,https://www.vivino.com/joseph-drouhin-chablis-grand-cru-vaudesir/w/24077?year=2017,$168.00,Vini Vino,2016,N,Y,N,N,N
Chablis Grand Cru les Clos *Limited,2014,Maison Joseph Drouhin,France,Burgundy,White,750,Chardonnay,,,112,Limited,4.3,2,5,8,,,29,33,,https://www.vivino.com/joseph-drouhin-drouhin-vaudon-chablis-grand-cru-les-clos/w/24075?year=2014,,,,N,Y,N,N,N
Chabkis Grand Cru les Clos,2017,Maison Joseph Drouhin,France,Burgundy,White,750,Chardonnay,,,128,,4.2,2,5,8,,,,33,,https://www.vivino.com/joseph-drouhin-drouhin-vaudon-chablis-grand-cru-les-clos/w/24075?year=2017,,,,N,Y,N,N,N
Meursault,2016,Maison Joseph Drouhin,France,Burgundy,White,750,Chardonnay,BH,89,98,,4.2,2,7,6,,,256,227,Among top 1% of all wines in the world,https://www.vivino.com/joseph-drouhin-meursault/w/24119?year=2016,$145.00,Vini Vino,2016,N,Y,N,N,N
Meursault,2017,Maison Joseph Drouhin,France,Burgundy,White,750,Chardonnay,,,104,,4.2,2,7,6,,,129,227,,https://www.vivino.com/joseph-drouhin-meursault/w/24119?year=2017,$145.00,Vini Vino,2016,N,Y,N,N,N
Chassagne Montrachet,2014,Maison Joseph Drouhin,France,Burgundy,Red,750,Chardonnay,BH,89,98,,4.2,1,4,8,3,,92,37,,https://www.vivino.com/joseph-drouhin-chassagne-montrachet/w/24094?year=2014,,,,N,Y,N,N,N
Chassagne Montrachet,2015,Maison Joseph Drouhin,France,Burgundy,Red,750,Chardonnay,BH,89,100,,4.2,1,4,8,3,,72,37,,https://www.vivino.com/joseph-drouhin-chassagne-montrachet/w/24094?year=2015,,,,N,Y,N,N,N
Chassagne Montrachet,2016,Maison Joseph Drouhin,France,Burgundy,Red,750,Chardonnay,BH,89,108,,4.4,1,4,8,3,,69,37,This vintage rates better than any other year for this wine.          Among top 1% of all wines in the world,https://www.vivino.com/joseph-drouhin-chassagne-montrachet/w/24094?year=2016,,,,N,Y,N,N,N
Puligny Montrachet,2016,Maison Joseph Drouhin,France,Burgundy,White,750,Chardonnay,,,113,,4.2,2,7,6,,,295,194,,https://www.vivino.com/joseph-drouhin-puligny-montrachet/w/24139?year=2016,$168.00,Vini Vino,2016,N,Y,N,N,N
Puligny Montrachet,2017,Maison Joseph Drouhin,France,Burgundy,White,750,Chardonnay,BH,90,117,,4.4,2,7,6,,,74,194,,https://www.vivino.com/joseph-drouhin-puligny-montrachet/w/24139?year=2017,$168.00,Vini Vino,2016,N,Y,N,N,N
"Meursault 1er Cru ""Les perriers""",2017,Maison Joseph Drouhin,France,Burgundy,White,750,Chardonnay,,,175,,4.4,2,7,6,,,,30,,https://www.vivino.com/joseph-drouhin-meursault-1er-cru-perrieres/w/1726747?year=2017,$218.00,Vini Vino,2016,N,Y,N,N,N
Meursault 1er Cru genevrieres,2017,Maison Joseph Drouhin,France,Burgundy,White,750,Chardonnay,BH,92,210,,4.2,2,7,6,,,,15,,https://www.vivino.com/joseph-drouhin-meursault-genevrieres-premier-cru/w/2634855?year=2017,,,,N,Y,N,N,N
"Chassagne Montrachet 1er Cru ""Marquis de Laguiche"" *Limited",2016,Maison Joseph Drouhin,France,Burgundy,White,750,Chardonnay,BH,93,170,Limited,4.3,2,7,5,,,,8,,https://www.vivino.com/joseph-drouhin-chassagne-montrachet-premier-cru-marquis-de-laguiche/w/1616375?year=2016,$235.00,Grand Cru Wine Concierge,2016,N,Y,N,N,N
"Chassagne Montrachet 1er Cru ""Marquis de Laguiche""",2017,Maison Joseph Drouhin,France,Burgundy,White,750,Chardonnay,BH,93,185,,4.3,2,7,5,,,,8,,https://www.vivino.com/joseph-drouhin-chassagne-montrachet-premier-cru-marquis-de-laguiche/w/1616375?year=2017,$235.00,Grand Cru Wine Concierge,2016,N,Y,N,N,N
"Puligny Montrachet 1er Cru ""Les Folatieres""",2016,Maison Joseph Drouhin,France,Burgundy,White,750,Chardonnay,BH,91,155,,4.4,2,7,6,,,158,143,,https://www.vivino.com/joseph-drouhin-puligny-montrachet-premier-cru-folatieres/w/24142?year=2016,$209.00,Vini Vino,2016,N,Y,N,N,N
"Puligny Montrachet 1er Cru ""Les Folatieres""",2017,Maison Joseph Drouhin,France,Burgundy,White,750,Chardonnay,,,163,,4.1,2,7,6,,,57,143,,https://www.vivino.com/joseph-drouhin-puligny-montrachet-premier-cru-folatieres/w/24142?year=2017,$209.00,Vini Vino,2016,N,Y,N,N,N
"Puligny Montrachet 1er Cru ""Clos de la Garenne"" *Limited",2013,Maison Joseph Drouhin,France,Burgundy,White,750,Chardonnay,,,138,Limited,4.1,2,4,7,3,,34,19,,https://www.vivino.com/joseph-drouhin-puligny-montrachet-premier-cru-clos-de-la-garenne/w/2599542?year=2013,$188.00,Vini Vino,2013,N,Y,N,N,N
"Puligny Montrachet 1er Cru ""Clos de la Garenne"" ",2015,Maison Joseph Drouhin,France,Burgundy,White,750,Chardonnay,BH,91,155,,4.3,2,4,7,3,,12,19,This vintage rates better than any other year for this wine,https://www.vivino.com/joseph-drouhin-puligny-montrachet-premier-cru-clos-de-la-garenne/w/2599542?year=2015,$209.00,Vini Vino,2015,N,Y,N,N,N
"Puligny Montrachet 1er Cru ""Clos de la Garenne"" *Limited",2016,Maison Joseph Drouhin,France,Burgundy,White,750,Chardonnay,,,155,Limited,4.3,2,4,7,3,,12,19,,https://www.vivino.com/joseph-drouhin-puligny-montrachet-premier-cru-clos-de-la-garenne/w/2599542?year=2016,$209.00,Vini Vino,2016,N,Y,N,N,N
"Puligny Montrachet 1er Cru ""Clos de la Garenne"" ",2017,Maison Joseph Drouhin,France,Burgundy,White,750,Chardonnay,BH,92,163,,4.1,2,4,7,3,,19,,,https://www.vivino.com/joseph-drouhin-puligny-montrachet-premier-cru-clos-de-la-garenne/w/2599542?year=2017,$209.00,Vini Vino,2016,N,Y,N,N,N
"Puligny Montrachet 1er Cru ""Les Pucelles""",2017,Maison Joseph Drouhin,France,Burgundy,White,750,Chardonnay,,,255,,4.2,2,8,5,,,,26,,https://www.vivino.com/joseph-drouhin-puligny-montrachet-premier-cru-pucelles/w/1989515?year=2017,,,,N,Y,N,N,N
"Montrachet Grand Cru ""Marquis de Laguiche""",2011,Maison Joseph Drouhin,France,Burgundy,White,750,Chardonnay,BH,95,880,,4.7,2,8,5,,,67,150,,https://www.vivino.com/joseph-drouhin-montrachet-grand-cru-marquis-de-laguiche/w/1274124?year=2011,,,,N,Y,N,N,N
"Montrachet Grand Cru ""Marquis de Laguiche""",2016,Maison Joseph Drouhin,France,Burgundy,White,750,Chardonnay,BH,95,974,,4.6,2,8,5,,,11,150,,https://www.vivino.com/joseph-drouhin-montrachet-grand-cru-marquis-de-laguiche/w/1274124?year=2016,,,,N,Y,N,N,N
"Montrachet Grand Cru ""Marquis de Laguiche"" - Magnum *Limited",2015,Maison Joseph Drouhin,France,Burgundy,White,1500,Chardonnay,BH,94,1880,Limited,4.7,2,8,5,,,47,150,,https://www.vivino.com/joseph-drouhin-montrachet-grand-cru-marquis-de-laguiche/w/1274124?year=2015,,,,N,Y,N,N,N
Corton Charlemagne Grand Cru,2013,Maison Joseph Drouhin,France,Burgundy,White,750,Chardonnay,BH,93,265,,4.5,3,7,6,,,80,54,,https://www.vivino.com/joseph-drouhin-corton-charlemagne-grand-cru/w/1769969?year=2013,$325.00,Vini Vino,2013,N,Y,N,N,N
Corton Charlemagne Grand Cru,2015,Maison Joseph Drouhin,France,Burgundy,White,750,Chardonnay,BH,93,268,,4.5,3,7,6,,,38,54,,https://www.vivino.com/joseph-drouhin-corton-charlemagne-grand-cru/w/1769969?year=2015,$329.00,Vini Vino,2015,N,Y,N,N,N
Corton Charlemagne Grand Cru,2016,Maison Joseph Drouhin,France,Burgundy,White,750,Chardonnay,BH,93,268,,4.2,3,7,6,,,39,54,,https://www.vivino.com/joseph-drouhin-corton-charlemagne-grand-cru/w/1769969?year=2016,$329.00,Vini Vino,2016,N,Y,N,N,N
Corton Charlemagne Grand Cru,2017,Maison Joseph Drouhin,France,Burgundy,White,750,Chardonnay,BH,94,294,,4.5,3,7,6,,,31,54,,https://www.vivino.com/joseph-drouhin-corton-charlemagne-grand-cru/w/1769969?year=2017,$329.00,Vini Vino,2016,N,Y,N,N,N
Crois Batard Montrachet Grand Cru *Limited,2012,Maison Joseph Drouhin,France,Burgundy,White,750,Chardonnay,BH,94,590,Limited,4.5,2,8,5,,,,5,,https://www.vivino.com/joseph-drouhin-criots-batard-montrachet-grand-cru/w/2878930?year=2012,$668.00,Vini Vino,2013,N,Y,N,N,N
Crois Batard Montrachet Grand Cru *Limited,2013,Maison Joseph Drouhin,France,Burgundy,White,750,Chardonnay,,,590,Limited,4.5,2,8,5,,,,5,,https://www.vivino.com/joseph-drouhin-criots-batard-montrachet-grand-cru/w/2878930?year=2013,$668.00,Vini Vino,2013,N,Y,N,N,N
Crois Batard Montrachet Grand Cru,2015,Maison Joseph Drouhin,France,Burgundy,White,750,Chardonnay,,,650,,4.5,2,8,5,,,,5,,https://www.vivino.com/joseph-drouhin-criots-batard-montrachet-grand-cru/w/2878930?year=2015,$738.00,Vini Vino,2015,N,Y,N,N,N
Batard Montrachet Grand Cru ,2011,Maison Joseph Drouhin,France,Burgundy,Red,750,Chardonnay,BH,94,500,,4.1,3,4,8,3,,11,6,,https://www.vivino.com/joseph-drouhin-batard-montrachet-grand-cru/w/2207861?year=2011,,,,N,Y,N,N,N
Batard Montrachet Grand Cru,2013,Maison Joseph Drouhin,France,Burgundy,Red,750,Chardonnay,,,590,,4.4,3,4,8,3,,,6,,https://www.vivino.com/joseph-drouhin-batard-montrachet-grand-cru/w/2207861?year=2013,,,,N,Y,N,N,N
Batard Montrachet Grand Cru,2014,Maison Joseph Drouhin,France,Burgundy,Red,750,Chardonnay,,,590,,4.5,3,4,8,3,,11,6,,https://www.vivino.com/joseph-drouhin-batard-montrachet-grand-cru/w/2207861?year=2014,,,,N,Y,N,N,N
Batard Montrachet Grand Cru,2015,Maison Joseph Drouhin,France,Burgundy,Red,750,Chardonnay,,,650,,4.4,3,4,8,3,,,6,,https://www.vivino.com/joseph-drouhin-batard-montrachet-grand-cru/w/2207861?year=2015,,,,N,Y,N,N,N
Macon Villages - Pint,2015,Maison Joseph Drouhin,France,Burgundy,White,375,Chardonnay,,,21.5,,3.6,1,5,5,,,705,383,,https://www.vivino.com/joseph-drouhin-macon-villages/w/24116?year=2015,,,,N,N,N,N,N
Pouilly Fuisse,2017,Maison Joseph Drouhin,France,Burgundy,White,750,Chardonnay,,,58,,4,1,5,5,,,255,308,,https://www.vivino.com/joseph-drouhin-pouilly-fuisse/w/24138?year=2017,$78.00,Vini Vino,2017,N,N,N,N,N
Pouilly Fuisse,2018,Maison Joseph Drouhin,France,Burgundy,White,750,Chardonnay,,,58,,3.7,1,5,5,,,57,308,,https://www.vivino.com/joseph-drouhin-pouilly-fuisse/w/24138?year=2018,$78.00,Vini Vino,2017,N,N,N,N,N
